20 20
3.16 1 218.33
3.25 1 287.47
2.88 1 45.84
0.24 1 474.68
4.33 1 302.34
1.99 1 102.57
2.75 1 299.72
0.32 1 462.3
2.0 1 313.46
4.94 1 205.28
1.54 1 16.75
4.92 1 177.13
0.72 1 88.13
0.17 1 230.23
4.58 1 472.55
4.9 1 18.67
1.98 1 336.93
2.88 1 11.78
2.72 1 83.98
3.56 1 1.83
0.16 1 151.24
0.71 1 127.17
1.49 1 349.6
1.57 1 344.81
3.31 1 311.71
2.82 1 273.04
3.43 1 486.13
2.23 1 149.58
0.98 1 290.06
3.28 1 139.46
4.41 1 125.61
4.75 1 262.23
2.86 1 266.63
4.95 1 81.48
3.61 1 203.59
4.62 1 256.53
1.25 1 324.08
4.8 1 246.68
0.34 1 316.77
2.3 1 189.37
1.65 1 256.15
2.89 1 291.23
4.75 1 251.65
0.71 1 272.18
3.84 1 493.81
2.65 1 188.74
2.45 1 108.57
3.45 1 331.95
1.29 1 493.66
2.15 1 250.83
4.98 1 100.03
0.12 1 282.52
3.01 1 422.25
3.52 1 273.91
2.98 1 254.51
0.32 1 401.89
3.83 1 74.04
3.79 1 184.89
0.21 1 478.28
2.44 1 60.6
0.59 1 288.94
2.35 1 471.9
4.79 1 340.94
2.23 1 347.83
4.89 1 124.04
2.38 1 113.52
2.53 1 156.8
4.21 1 39.68
2.31 1 68.86
2.05 1 463.31
2.65 1 183.28
1.3 1 99.49
3.09 1 281.75
2.33 1 273.66
2.04 1 186.32
1.33 1 489.67
0.29 1 177.76
2.57 1 438.16
2.77 1 9.15
4.18 1 49.74
1.57 1 342.17
4.96 1 167.51
1.86 1 71.82
1.2 1 168.63
3.62 1 342.46
2.74 1 251.87
3.5 1 59.43
4.31 1 119.58
4.72 1 274.95
3.3 1 109.91
1.16 1 274.09
4.58 1 29.03
2.38 1 401.77
3.17 1 291.81
2.91 1 425.69
2.95 1 311.62
2.24 1 378.17
3.05 1 365.36
3.66 1 40.13
2.5 1 288.57
1.22 1 371.39
1.33 1 127.32
3.1 1 386.24
2.99 1 467.43
1.7 1 256.98
2.32 1 423.51
4.96 1 223.26
2.4 1 347.45
4.01 1 181.2
2.42 1 306.56
3.32 1 267.42
1.9 1 84.59
1.12 1 376.64
4.4 1 489.42
2.47 1 102.05
1.18 1 65.63
2.0 1 236.29
4.76 1 434.07
3.54 1 4.65
3.54 1 272.64
3.16 1 182.89
3.73 1 378.12
4.64 1 200.73
3.67 1 393.29
3.28 1 154.7
0.08 1 337.55
3.77 1 65.22
