20 20
0.7 2 309.17
2.24 2 483.84
0.95 2 417.78
2.8 2 3.19
0.12 2 137.9
3.95 2 477.76
1.54 2 39.34
0.93 2 13.23
3.24 2 170.47
1.42 2 309.32
0.18 2 419.37
1.48 2 52.54
2.73 2 178.31
0.01 2 72.58
4.43 2 438.7
1.64 2 283.33
2.2 2 199.04
1.67 2 250.81
0.85 2 359.72
0.24 2 425.12
3.38 2 308.08
4.26 2 212.43
3.95 2 86.7
3.52 2 308.91
0.58 2 224.3
3.34 2 29.09
3.77 2 261.0
0.15 2 262.6
4.39 2 414.32
0.73 2 226.24
3.5 2 219.72
0.64 2 442.29
0.85 2 473.89
4.14 2 282.42
4.3 2 431.84
3.95 2 383.75
0.11 2 266.39
3.64 2 119.05
3.12 2 395.06
1.33 2 304.25
2.33 2 60.43
0.45 2 96.12
2.79 2 18.64
4.96 2 384.18
4.19 2 109.64
1.63 2 9.76
1.53 2 110.26
1.63 2 244.28
2.78 2 121.83
1.93 2 325.48
2.83 2 28.8
1.81 2 155.52
0.72 2 228.0
4.87 2 474.76
1.05 2 429.01
2.34 2 164.58
1.11 2 60.66
4.53 2 414.79
4.98 2 350.58
0.17 2 179.16
2.56 2 240.02
1.94 2 258.53
2.44 2 83.46
3.25 2 147.63
3.76 2 37.94
2.81 2 307.36
4.03 2 302.69
2.23 2 291.55
0.08 2 6.09
0.13 2 227.02
1.85 2 474.69
1.31 2 319.7
4.81 2 254.33
1.63 2 55.56
1.69 2 266.57
1.42 2 451.9
2.34 2 4.42
0.49 2 108.97
0.42 2 370.97
2.04 2 408.6
3.57 2 260.4
0.36 2 224.97
2.29 2 186.96
2.08 2 157.69
3.85 2 176.16
4.82 2 309.24
4.08 2 239.09
3.67 2 155.86
4.21 2 489.62
3.42 2 435.19
3.97 2 446.72
4.13 2 43.42
0.4 2 66.58
1.64 2 342.32
2.23 2 56.99
2.99 2 449.77
3.05 2 184.35
4.93 2 467.13
2.64 2 468.74
0.28 2 410.97
3.7 2 259.33
4.79 2 398.68
1.94 2 196.89
3.24 2 67.32
1.38 2 482.4
1.45 2 374.3
0.86 2 482.82
2.92 2 280.86
4.83 2 185.42
2.05 2 191.33
1.77 2 82.25
4.38 2 268.11
2.43 2 363.59
2.59 2 53.87
2.41 2 297.11
1.09 2 100.42
4.32 2 264.18
3.46 2 264.83
0.68 2 459.01
0.5 2 439.83
1.5 2 491.05
4.94 2 209.85
2.16 2 261.98
0.49 2 196.63
1.77 2 22.53
0.61 2 285.89
1.36 2 244.28
4.47 2 89.06
0.2 2 201.6
4.9 2 13.25
0.74 2 258.42
1.73 2 433.87
1.55 2 313.82
1.03 2 421.8
2.36 2 254.49
1.6 2 123.35
4.18 2 223.03
3.48 2 240.38
3.34 2 397.7
2.71 2 451.07
3.2 2 45.98
0.53 2 247.58
2.7 2 348.53
1.47 2 154.31
2.68 2 295.77
3.72 2 246.41
3.61 2 346.07
1.7 2 130.34
4.18 2 153.96
4.91 2 421.5
1.09 2 5.1
1.86 2 308.33
1.21 2 405.35
1.9 2 305.66
2.07 2 154.45
3.21 2 92.59
3.75 2 202.16
1.43 2 155.86
3.36 2 212.0
4.91 2 187.15
1.41 2 469.22
1.51 2 127.82
2.09 2 316.26
4.62 2 94.36
4.84 2 244.06
1.93 2 68.09
0.29 2 300.86
0.67 2 135.55
3.77 2 345.42
1.26 2 308.13
0.82 2 381.88
4.25 2 98.77
