20 20
4.66 1 382.33
4.33 1 125.61
2.89 1 395.28
3.08 1 299.45
3.46 1 138.88
2.21 1 333.01
4.84 1 30.05
2.21 1 355.5
1.75 1 173.46
4.78 1 447.56
1.75 1 181.6
2.72 1 221.7
0.58 1 429.24
1.19 1 111.29
4.04 1 397.52
2.93 1 463.33
2.15 1 315.85
4.22 1 223.84
1.45 1 137.07
4.81 1 495.78
4.24 1 328.89
3.68 1 360.91
1.05 1 65.85
4.66 1 428.14
0.26 1 123.41
2.73 1 226.27
0.6 1 422.05
0.17 1 246.46
2.72 1 226.65
3.9 1 457.82
1.74 1 62.43
4.18 1 334.46
4.39 1 146.72
3.91 1 56.55
4.16 1 63.59
0.47 1 337.83
4.95 1 248.95
1.17 1 306.24
2.24 1 301.66
3.5 1 164.44
4.73 1 418.58
1.31 1 83.99
4.87 1 134.06
4.38 1 130.51
3.81 1 390.63
4.7 1 23.27
0.38 1 471.83
3.12 1 81.3
4.18 1 157.37
1.87 1 89.61
1.63 1 112.76
3.46 1 224.2
3.71 1 410.32
4.36 1 165.86
2.06 1 280.99
1.48 1 165.73
1.69 1 11.18
4.62 1 76.86
3.01 1 491.65
2.91 1 70.48
4.15 1 289.46
1.89 1 490.77
3.64 1 471.13
4.54 1 392.22
4.58 1 227.32
3.83 1 63.12
3.22 1 266.08
2.77 1 235.99
4.01 1 354.06
3.94 1 428.56
1.04 1 166.41
1.41 1 479.8
4.17 1 293.76
0.3 1 30.79
2.99 1 123.14
0.9 1 381.26
0.39 1 99.69
3.88 1 85.81
1.19 1 352.72
0.15 1 383.92
2.77 1 366.82
0.91 1 2.54
1.5 1 269.67
0.26 1 134.7
2.38 1 237.67
2.11 1 235.75
2.4 1 145.79
1.78 1 70.03
0.11 1 148.28
0.98 1 290.64
4.37 1 88.92
2.41 1 101.38
1.73 1 427.21
4.54 1 90.28
4.09 1 342.07
0.4 1 13.45
1.37 1 10.8
0.84 1 35.39
1.76 1 217.03
2.71 1 496.68
3.73 1 289.03
1.83 1 255.71
0.98 1 89.49
4.18 1 159.23
3.8 1 375.88
1.31 1 318.55
2.59 1 113.73
1.99 1 393.3
3.56 1 233.07
3.56 1 472.96
1.54 1 485.9
0.76 1 57.36
4.91 1 6.23
1.55 1 33.14
3.72 1 183.62
3.84 1 246.65
4.24 1 5.47
0.51 1 393.46
3.76 1 96.21
3.4 1 299.7
4.2 1 300.96
2.91 1 486.95
2.11 1 421.04
0.91 1 420.09
1.95 1 40.79
1.79 1 30.81
0.88 1 28.69
3.65 1 249.45
1.51 1 61.78
3.75 1 274.77
3.31 1 245.67
3.3 1 192.27
1.86 1 144.31
1.94 1 326.11
2.5 1 201.32
0.83 1 286.44
1.28 1 469.85
2.09 1 404.18
1.25 1 246.88
2.0 1 485.19
0.28 1 121.71
4.84 1 371.45
3.33 1 393.7
4.0 1 87.33
0.25 1 481.85
1.35 1 462.67
0.09 1 28.21
4.11 1 45.58
4.09 1 466.13
3.68 1 65.32
1.35 1 147.64
2.62 1 94.16
3.78 1 88.09
4.91 1 110.65
0.76 1 420.8
2.7 1 172.84
3.02 1 292.01
2.48 1 20.33
3.13 1 235.75
2.62 1 124.68
4.79 1 372.31
0.6 1 392.18
0.65 1 58.07
2.06 1 236.91
0.44 1 495.19
4.85 1 452.29
0.96 1 467.07
3.77 1 290.82
3.34 1 132.64
3.76 1 251.91
4.94 1 461.69
3.89 1 323.12
0.03 1 493.87
2.21 1 300.05
3.01 1 273.45
4.24 1 24.76
3.9 1 363.43
1.05 1 341.49
0.81 1 362.65
1.43 1 149.25
4.08 1 374.75
2.54 1 231.68
2.24 1 101.22
2.08 1 400.33
0.43 1 257.38
4.88 1 342.23
4.65 1 163.13
4.39 1 35.45
1.49 1 138.8
4.84 1 318.19
1.59 1 303.74
4.85 1 201.18
4.47 1 281.73
4.84 1 273.31
3.72 1 83.25
3.05 1 53.28
1.64 1 370.56
0.83 1 63.31
1.36 1 251.25
3.25 1 49.07
1.36 1 388.62
3.07 1 123.54
4.35 1 348.15
2.93 1 299.35
1.69 1 108.86
0.5 1 131.08
1.73 1 222.93
4.08 1 372.86
4.82 1 93.68
3.84 1 413.64
4.29 1 167.77
1.74 1 153.45
0.53 1 461.28
4.17 1 190.88
1.14 1 453.54
2.61 1 263.76
0.09 1 360.88
4.73 1 120.71
3.12 1 282.17
4.13 1 495.12
1.6 1 481.48
3.57 1 486.67
1.33 1 84.54
0.53 1 491.32
0.69 1 471.59
4.71 1 399.3
3.22 1 195.74
0.16 1 435.82
0.78 1 58.31
2.09 1 436.94
2.14 1 43.98
4.89 1 118.58
1.67 1 290.22
2.72 1 467.55
2.69 1 115.45
4.13 1 248.58
3.74 1 156.1
3.63 1 326.75
1.08 1 198.24
4.05 1 86.21
1.48 1 20.43
1.56 1 92.59
4.5 1 191.97
0.84 1 99.1
4.48 1 83.76
1.8 1 487.33
1.5 1 273.39
0.08 1 111.35
4.04 1 468.04
2.23 1 304.65
2.36 1 244.45
0.82 1 179.43
0.84 1 352.09
4.88 1 11.75
4.89 1 156.04
1.08 1 356.03
