8 8
2.84 4 194.75
2.19 1 272.73
1.62 0 487.27
2.85 2 474.36
3.96 4 433.05
3.36 3 337.79
2.22 2 364.25
2.5 1 241.52
2.85 3 57.84
1.25 2 417.63
1.4 0 336.27
1.76 4 497.75
2.03 0 136.33
0.35 1 210.56
4.25 0 189.61
2.34 3 229.99
4.03 3 134.96
4.35 3 59.13
3.43 4 43.36
3.75 1 376.28
4.91 2 79.05
3.14 3 107.58
0.07 1 219.05
0.01 2 406.96
3.93 1 140.99
3.25 0 270.0
0.62 4 309.37
1.15 2 356.61
4.85 2 22.15
1.61 0 12.33
2.87 1 75.88
0.56 0 247.52
0.73 1 4.03
0.65 0 31.7
0.85 2 354.46
3.51 0 383.33
2.56 4 161.07
4.26 1 416.98
3.54 3 289.16
4.62 4 300.79
0.56 4 286.77
1.21 4 200.47
3.61 4 388.71
0.91 4 180.65
0.11 3 328.85
3.97 1 261.82
0.41 1 227.5
2.12 0 371.12
2.68 0 447.9
4.2 4 445.45
1.52 1 109.94
0.1 0 390.51
1.78 4 113.68
2.71 1 107.09
2.43 0 434.14
4.35 2 91.65
4.93 3 141.07
3.25 3 322.42
2.76 0 113.4
4.71 1 88.72
4.59 1 165.36
0.6 2 427.34
2.04 4 453.47
0.01 3 8.08
