20 20
0.7 1 309.17
2.24 1 483.84
0.95 1 417.78
2.8 1 3.19
0.12 1 137.9
3.95 1 477.76
1.54 1 39.34
0.93 1 13.23
3.24 1 170.47
1.42 1 309.32
0.18 1 419.37
1.48 1 52.54
2.73 1 178.31
0.01 1 72.58
4.43 1 438.7
1.64 1 283.33
2.2 1 199.04
1.67 1 250.81
0.85 1 359.72
0.24 1 425.12
3.38 1 308.08
4.26 1 212.43
3.95 1 86.7
3.52 1 308.91
0.58 1 224.3
3.34 1 29.09
3.77 1 261.0
0.15 1 262.6
4.39 1 414.32
0.73 1 226.24
3.5 1 219.72
0.64 1 442.29
0.85 1 473.89
4.14 1 282.42
4.3 1 431.84
3.95 1 383.75
0.11 1 266.39
3.64 1 119.05
3.12 1 395.06
1.33 1 304.25
2.33 1 60.43
0.45 1 96.12
2.79 1 18.64
4.96 1 384.18
4.19 1 109.64
1.63 1 9.76
1.53 1 110.26
1.63 1 244.28
2.78 1 121.83
1.93 1 325.48
2.83 1 28.8
1.81 1 155.52
0.72 1 228.0
4.87 1 474.76
1.05 1 429.01
2.34 1 164.58
1.11 1 60.66
4.53 1 414.79
4.98 1 350.58
0.17 1 179.16
2.56 1 240.02
1.94 1 258.53
2.44 1 83.46
3.25 1 147.63
3.76 1 37.94
2.81 1 307.36
4.03 1 302.69
2.23 1 291.55
0.08 1 6.09
0.13 1 227.02
1.85 1 474.69
1.31 1 319.7
4.81 1 254.33
1.63 1 55.56
1.69 1 266.57
1.42 1 451.9
2.34 1 4.42
0.49 1 108.97
0.42 1 370.97
2.04 1 408.6
3.57 1 260.4
0.36 1 224.97
2.29 1 186.96
2.08 1 157.69
3.85 1 176.16
4.82 1 309.24
4.08 1 239.09
3.67 1 155.86
4.21 1 489.62
3.42 1 435.19
3.97 1 446.72
4.13 1 43.42
0.4 1 66.58
1.64 1 342.32
2.23 1 56.99
2.99 1 449.77
3.05 1 184.35
4.93 1 467.13
2.64 1 468.74
0.28 1 410.97
3.7 1 259.33
4.79 1 398.68
1.94 1 196.89
3.24 1 67.32
1.38 1 482.4
1.45 1 374.3
0.86 1 482.82
2.92 1 280.86
4.83 1 185.42
2.05 1 191.33
1.77 1 82.25
4.38 1 268.11
2.43 1 363.59
2.59 1 53.87
2.41 1 297.11
1.09 1 100.42
4.32 1 264.18
3.46 1 264.83
0.68 1 459.01
0.5 1 439.83
1.5 1 491.05
4.94 1 209.85
2.16 1 261.98
0.49 1 196.63
1.77 1 22.53
0.61 1 285.89
1.36 1 244.28
4.47 1 89.06
0.2 1 201.6
4.9 1 13.25
0.74 1 258.42
1.73 1 433.87
1.55 1 313.82
1.03 1 421.8
2.36 1 254.49
1.6 1 123.35
4.18 1 223.03
3.48 1 240.38
3.34 1 397.7
2.71 1 451.07
3.2 1 45.98
0.53 1 247.58
2.7 1 348.53
1.47 1 154.31
2.68 1 295.77
3.72 1 246.41
3.61 1 346.07
1.7 1 130.34
4.18 1 153.96
4.91 1 421.5
1.09 1 5.1
1.86 1 308.33
1.21 1 405.35
1.9 1 305.66
2.07 1 154.45
3.21 1 92.59
3.75 1 202.16
1.43 1 155.86
3.36 1 212.0
4.91 1 187.15
1.41 1 469.22
1.51 1 127.82
2.09 1 316.26
4.62 1 94.36
4.84 1 244.06
1.93 1 68.09
0.29 1 300.86
0.67 1 135.55
3.77 1 345.42
1.26 1 308.13
0.82 1 381.88
4.25 1 98.77
1.62 1 248.38
1.54 1 343.78
0.35 1 203.77
3.77 1 428.43
2.94 1 101.96
2.83 1 358.15
1.39 1 128.67
3.38 1 163.21
2.09 1 234.39
0.3 1 480.21
0.38 1 38.21
4.27 1 323.13
3.65 1 119.79
0.09 1 386.2
2.12 1 406.96
3.04 1 240.51
4.58 1 441.37
1.88 1 310.47
0.25 1 42.91
4.08 1 166.47
2.28 1 53.14
4.25 1 437.97
4.07 1 410.79
2.62 1 428.26
0.85 1 20.0
2.71 1 495.83
1.87 1 425.74
4.52 1 339.0
1.68 1 163.54
2.44 1 137.69
1.02 1 285.76
3.77 1 282.03
0.34 1 410.55
2.82 1 402.53
3.54 1 153.21
3.16 1 238.95
3.41 1 395.52
1.45 1 110.87
1.88 1 134.9
2.64 1 490.09
4.43 1 54.92
3.43 1 179.78
1.34 1 366.17
4.48 1 99.6
4.15 1 52.77
1.27 1 65.86
2.5 1 467.88
0.7 1 275.37
0.7 1 34.08
2.66 1 170.19
0.18 1 410.99
1.44 1 17.09
2.83 1 223.74
0.09 1 241.85
4.8 1 101.89
1.68 1 442.46
0.42 1 355.06
3.25 1 325.6
3.17 1 74.0
4.87 1 380.19
1.28 1 387.55
0.18 1 482.66
1.61 1 128.06
3.42 1 443.01
4.36 1 473.21
2.44 1 490.33
1.6 1 197.43
3.06 1 414.92
2.95 1 137.72
1.89 1 408.94
0.92 1 496.74
0.21 1 266.15
2.47 1 243.61
0.94 1 329.14
2.24 1 59.77
1.0 1 46.2
1.57 1 54.63
2.33 1 118.55
2.67 1 485.6
3.19 1 366.07
1.08 1 247.71
3.53 1 325.12
0.89 1 2.08
3.32 1 280.97
4.97 1 261.69
3.26 1 90.84
0.58 1 319.86
0.85 1 159.71
1.26 1 357.54
2.79 1 293.32
1.17 1 208.2
4.96 1 1.63
4.9 1 457.85
1.13 1 383.79
1.27 1 408.13
2.91 1 428.91
1.71 1 86.99
4.0 1 338.65
2.45 1 401.97
1.95 1 73.99
0.6 1 275.22
3.34 1 452.26
0.31 1 136.83
2.18 1 481.64
3.83 1 209.99
0.19 1 134.58
4.52 1 278.2
0.36 1 146.09
0.86 1 441.63
2.01 1 0.74
0.06 1 231.73
2.18 1 129.97
2.32 1 88.82
4.66 1 191.56
1.87 1 485.43
0.25 1 404.21
1.46 1 469.8
0.74 1 199.86
2.83 1 340.48
4.51 1 129.79
2.6 1 440.26
2.64 1 144.03
3.57 1 36.01
1.31 1 14.22
0.53 1 365.67
1.78 1 496.29
1.77 1 73.63
4.48 1 213.36
2.02 1 2.98
3.45 1 2.91
0.7 1 499.69
4.3 1 450.08
3.49 1 33.09
0.99 1 43.24
4.26 1 153.48
4.35 1 91.71
4.63 1 254.76
4.4 1 384.14
3.46 1 447.67
3.8 1 244.81
3.57 1 88.56
0.45 1 150.48
1.67 1 96.18
1.31 1 181.72
4.77 1 116.97
0.87 1 141.67
1.32 1 340.01
1.73 1 240.75
0.5 1 113.57
0.75 1 145.19
1.08 1 336.51
4.23 1 426.71
4.14 1 96.23
4.98 1 178.38
4.38 1 34.96
1.68 1 493.98
2.0 1 497.16
1.13 1 85.46
1.02 1 441.77
4.95 1 284.62
2.45 1 81.71
4.94 1 246.85
1.35 1 271.16
3.07 1 269.06
3.85 1 352.24
2.81 1 158.9
4.21 1 29.97
1.55 1 227.5
2.93 1 140.14
2.23 1 495.79
4.94 1 173.9
2.35 1 24.39
0.8 1 140.94
0.68 1 170.07
0.38 1 68.3
4.8 1 202.81
3.12 1 111.51
1.77 1 487.4
3.63 1 84.73
2.05 1 317.89
1.85 1 364.97
0.03 1 357.2
2.81 1 325.88
4.34 1 55.82
4.63 1 167.7
1.79 1 435.03
0.93 1 414.61
4.73 1 106.44
0.72 1 245.03
2.83 1 327.68
4.44 1 95.63
0.87 1 188.83
1.16 1 159.19
3.09 1 413.15
2.95 1 281.08
2.95 1 107.27
2.83 1 291.64
2.77 1 300.93
4.0 1 322.04
1.77 1 98.03
4.52 1 271.06
2.67 1 164.39
1.99 1 205.66
3.51 1 241.92
1.73 1 326.36
1.56 1 216.79
1.67 1 56.76
4.98 1 278.93
0.92 1 0.16
2.41 1 453.26
1.08 1 78.09
1.36 1 495.21
1.23 1 161.29
4.19 1 494.62
0.42 1 111.67
0.72 1 468.71
1.76 1 284.22
4.03 1 143.74
0.93 1 275.01
2.01 1 168.36
1.23 1 127.53
4.95 1 243.02
3.27 1 433.9
0.54 1 281.9
3.54 1 227.4
0.67 1 163.37
4.62 1 142.36
2.65 1 235.46
