20 20
2.06 1 103.68
1.64 1 487.09
0.51 1 410.7
2.41 1 432.05
3.91 1 186.82
4.29 1 380.15
2.84 1 249.44
2.09 1 372.83
3.08 1 99.92
0.47 1 368.69
2.85 1 49.09
2.14 1 173.54
1.73 1 149.9
4.98 1 381.58
3.57 1 29.22
3.82 1 108.56
4.16 1 404.01
2.26 1 224.04
2.74 1 190.68
2.17 1 93.37
1.09 1 137.78
1.36 1 148.92
3.15 1 285.81
0.52 1 52.07
0.25 1 151.42
0.16 1 414.02
0.75 1 400.88
2.75 1 217.98
4.6 1 270.53
1.22 1 447.35
1.0 1 423.01
4.8 1 336.14
1.61 1 190.36
4.52 1 311.92
2.1 1 304.31
4.38 1 88.59
1.35 1 169.98
1.61 1 259.64
1.48 1 151.06
3.83 1 3.34
3.75 1 138.88
2.45 1 468.41
3.36 1 26.05
4.58 1 97.74
0.43 1 189.0
2.41 1 315.29
2.15 1 118.16
1.24 1 258.04
2.14 1 142.51
4.34 1 385.67
0.22 1 404.78
1.74 1 118.88
0.95 1 277.0
4.0 1 303.21
2.74 1 38.94
2.63 1 232.37
3.69 1 265.0
2.51 1 401.65
2.44 1 250.81
4.86 1 156.57
4.29 1 346.61
3.07 1 153.74
0.51 1 331.72
2.71 1 145.28
4.91 1 29.65
3.19 1 355.89
3.86 1 273.1
1.79 1 240.8
3.42 1 465.36
2.66 1 252.52
0.83 1 217.71
1.85 1 464.21
2.09 1 267.51
3.44 1 441.5
3.99 1 396.45
4.51 1 41.42
3.93 1 451.8
3.25 1 462.76
4.08 1 385.77
0.19 1 386.65
1.05 1 162.64
3.98 1 399.54
0.85 1 463.78
1.12 1 207.15
1.89 1 430.34
2.15 1 382.2
2.86 1 92.46
0.5 1 279.58
2.94 1 494.82
2.74 1 68.54
3.46 1 463.32
3.07 1 187.88
1.39 1 214.36
0.92 1 331.64
4.1 1 35.12
1.52 1 367.99
1.19 1 201.38
0.97 1 405.33
4.12 1 56.01
1.58 1 474.93
0.41 1 35.43
3.65 1 379.14
1.35 1 109.56
4.69 1 360.75
2.45 1 101.13
3.28 1 197.99
0.53 1 226.47
4.49 1 429.31
0.92 1 25.29
3.63 1 450.76
2.54 1 78.51
3.8 1 89.99
1.38 1 122.78
1.84 1 363.58
1.97 1 385.32
0.98 1 81.41
1.87 1 146.81
2.03 1 104.85
4.13 1 278.77
1.66 1 20.42
3.7 1 412.54
1.63 1 362.71
4.95 1 420.91
3.84 1 434.21
0.99 1 142.02
0.18 1 318.18
2.05 1 17.57
1.41 1 50.17
3.49 1 446.31
3.1 1 227.05
4.23 1 302.7
3.11 1 131.48
1.14 1 467.96
1.86 1 335.06
3.08 1 201.39
1.14 1 116.69
0.55 1 10.65
0.23 1 328.36
4.28 1 144.91
1.44 1 193.05
3.64 1 467.19
3.99 1 170.21
3.11 1 282.49
2.35 1 344.69
2.32 1 437.39
3.37 1 395.32
3.6 1 36.39
2.45 1 384.83
2.71 1 27.8
2.96 1 40.93
2.76 1 156.18
4.29 1 115.1
1.98 1 304.52
2.21 1 161.42
3.07 1 55.31
4.77 1 136.41
3.87 1 75.26
4.71 1 336.63
0.27 1 359.39
0.41 1 232.37
1.16 1 153.61
3.77 1 40.45
2.23 1 64.35
1.23 1 144.08
1.51 1 396.12
0.06 1 309.75
4.53 1 79.29
4.94 1 153.87
2.65 1 430.9
1.56 1 29.99
0.5 1 246.24
1.36 1 449.08
2.62 1 405.03
2.71 1 206.89
2.91 1 216.94
4.57 1 314.44
3.97 1 186.17
1.68 1 432.29
4.62 1 385.75
3.08 1 481.35
3.33 1 428.8
3.67 1 133.68
3.65 1 423.36
3.32 1 230.06
0.3 1 255.25
3.11 1 459.68
4.11 1 495.95
1.46 1 406.29
4.14 1 128.7
3.35 1 149.18
3.42 1 226.4
1.88 1 212.41
2.28 1 299.38
1.42 1 308.25
0.88 1 241.99
0.49 1 149.85
2.48 1 202.5
4.59 1 471.51
4.38 1 483.39
0.66 1 132.2
1.26 1 277.74
1.73 1 440.07
4.39 1 105.6
3.94 1 409.37
0.72 1 267.1
4.5 1 402.11
0.51 1 11.34
2.89 1 75.98
4.94 1 43.68
4.06 1 178.18
2.54 1 135.62
1.92 1 264.31
0.42 1 178.95
4.76 1 318.4
3.41 1 311.12
0.56 1 480.59
4.87 1 115.42
4.67 1 480.49
3.63 1 170.18
0.5 1 478.67
2.77 1 264.07
3.9 1 8.84
3.76 1 316.26
2.75 1 331.84
2.06 1 452.01
2.71 1 116.3
1.09 1 92.44
0.94 1 476.47
1.42 1 373.7
3.28 1 222.26
0.94 1 128.72
2.92 1 111.9
3.85 1 75.73
0.88 1 488.78
1.02 1 154.0
1.3 1 56.5
1.28 1 252.27
4.58 1 442.16
3.93 1 154.1
0.05 1 194.29
1.86 1 495.48
3.72 1 42.56
3.89 1 421.02
0.06 1 366.06
3.9 1 61.7
4.31 1 483.11
3.2 1 475.27
0.93 1 32.27
3.38 1 20.17
0.38 1 17.89
3.04 1 51.15
4.97 1 50.73
2.17 1 401.02
0.74 1 375.45
4.63 1 309.32
1.85 1 396.07
1.21 1 59.13
3.71 1 421.21
4.56 1 401.9
2.67 1 81.11
2.98 1 493.48
1.98 1 237.44
3.17 1 304.0
0.46 1 479.25
1.75 1 48.39
4.62 1 202.46
2.36 1 491.56
4.14 1 238.96
1.86 1 446.33
0.29 1 465.69
4.11 1 380.55
1.29 1 232.93
1.95 1 97.78
3.27 1 188.34
1.6 1 183.44
4.19 1 100.77
0.05 1 305.81
4.0 1 439.54
1.26 1 329.8
1.37 1 68.41
3.94 1 211.35
1.11 1 60.87
1.33 1 222.96
2.02 1 128.58
2.52 1 312.27
4.82 1 142.71
3.08 1 135.04
0.51 1 370.39
2.59 1 364.36
2.38 1 94.98
0.03 1 35.31
0.3 1 354.48
3.77 1 71.37
